ncm;artigo;pagina;trecho
85258919;76;25;"ei nº 10.865, de 2004, art. 28, inciso XXIX, incluído pela Lei nº 12.649, de 2012, art. 1º); XVIII - lupas eletrônicas do tipo utilizado por pessoas com de fi ciência visual classi fi cadas no código 8525.89.19 Ex 01 da Tipi (Lei nº 10.865, de 2004, art. 28, inciso XXX, incluído pela Lei nº 12.649, de 2012, art. 1º); X"
90213980;76;25;" cocleares classi fi cados no código 9021.40.00 da Tipi (Lei nº 10.865, de 2004, art. 28, inciso XXXI, incluído pela Lei nº 12.649, de 2012, art. 1º); XX - próteses oculares classi fi cadas no código 9021.39.80 da Tipi (Lei nº 10.865, de 2004, art. 28, inciso XXXII, incluído pela Lei nº 12.649, de 2012, art. 1º); XXI -"
90219019;76;25;"nal https://www.in.gov.br/en/web/dou/-/instrucao-normativa-rfb-n-2.121-de-15-de-dezembro-de-2022-452045866 25/316 XXIII - neuroestimuladores para tremor essencial/Parkinson, classi fi cados no código 9021.90.19, e seus acessórios, classi fi cados nos códigos 9018.90.99, 9021.90.91 e 9021.90.99, todos daTipi (Lei nº 10."
90189099;76;25;"rfb-n-2.121-de-15-de-dezembro-de-2022-452045866 25/316 XXIII - neuroestimuladores para tremor essencial/Parkinson, classi fi cados no código 9021.90.19, e seus acessórios, classi fi cados nos códigos 9018.90.99, 9021.90.91 e 9021.90.99, todos daTipi (Lei nº 10.865, de 2004, art. 28, inciso XXXV, incluído pela Lei nº 12"
90219091;76;25;"de-15-de-dezembro-de-2022-452045866 25/316 XXIII - neuroestimuladores para tremor essencial/Parkinson, classi fi cados no código 9021.90.19, e seus acessórios, classi fi cados nos códigos 9018.90.99, 9021.90.91 e 9021.90.99, todos daTipi (Lei nº 10.865, de 2004, art. 28, inciso XXXV, incluído pela Lei nº 12.649, de 201"
90219099;76;25;"mbro-de-2022-452045866 25/316 XXIII - neuroestimuladores para tremor essencial/Parkinson, classi fi cados no código 9021.90.19, e seus acessórios, classi fi cados nos códigos 9018.90.99, 9021.90.91 e 9021.90.99, todos daTipi (Lei nº 10.865, de 2004, art. 28, inciso XXXV, incluído pela Lei nº 12.649, de 2012, art. 1º). "
27111910;86;28;" óleo diesel e gasolina ou exclusivamente de gasolina, referidas no art. 333, nos termos do art. 347 (Medida Provisória nº 2.158-35, de 2001, art. 42); II - óleo diesel e GLP classi fi cado no código 2711.19.10 da Tipi, derivado de petróleo e de gás natural, referidos no art. 333, nos termos do art. 347 (Medida Provisó"
21069010;87;;"nto) as alíquotas da Contribuição para o PIS/Pasep e da Co fi ns incidentes sobre a receita decorrente da venda, no mercado interno, de preparações compostas não alcoólicas, classi fi cadas no código 2106.90.10 Ex 01, da Tipi, destinadas à elaboração de bebidas pelas pessoas jurídicas industriais, nos termos do art. 49"
34011190;97;;"s sobre a venda no mercado interno de (Lei nº 10.925, de 2004, art. 1º, incisos XXVI a XXVIII, com redação dada pela Lei nº 12.839, de 2013, art. 1º): I - sabões de toucador classi fi cados no código 3401.11.90 Ex 01 da Tipi; II - produtos para higiene bucal ou dentária classi fi cados na posição 33.06 da Tipi; e III -"
48181000;97;;"de toucador classi fi cados no código 3401.11.90 Ex 01 da Tipi; II - produtos para higiene bucal ou dentária classi fi cados na posição 33.06 da Tipi; e III - papel higiênico classi fi cado no código 4818.10.00 da Tipi. Subseção XXVII Da Indenização Correspondente à Parcela dos Investimentos Vinculados a Bens Reversíve"
