ncm;cest;mva;aliq_interna;op_interna;segmento;norma;dispositivo;trecho
84149039;0103500;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Partes das bombas, compressores e turbocompressores dos CEST 01.032.00, 01.033.00 e 01.034.00"
841520;0103600;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Máquinas e aparelhos de ar condicionado"
8419;0103700;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Aparelhos para filtrar óleos minerais nos motores de ignição por centelha ou por compressão"
84212990;0103800;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Filtros a vácuo"
84219;0103900;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Partes dos aparelhos para filtrar ou depurar líquidos ou gases"
84241000;0104000;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Extintores, mesmo carregados"
84213100;0104100;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Filtros de entrada de ar para motores de ignição por centelha ou por compressão"
84213920;0104200;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Depuradores por conversão catalítica de gases de escape"
84254200;0104300;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Macacos"
84311010;0104400;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Partes para macacos do CEST 01.043.00"
8431492;0104500;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Partes reconhecíveis como exclusiva ou principalmente destinadas às máquinas agrícolas ou rodoviárias"
84339090;0104501;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Partes reconhecíveis como exclusiva ou principalmente destinadas às máquinas agrícolas ou rodoviárias"
84811000;0104600;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Válvulas redutoras de pressão"
84812;0104700;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Válvulas para transmissão óleo-hidráulicas ou pneumáticas"
84818092;0104800;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Válvulas solenoides"
8482;0104900;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Rolamentos"
8483;0105000;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Árvores de transmissão (incluídas as árvores de “cames” e virabrequins) e manivelas; mancais e “bronzes”; engrenagens e rodas de fricção; eixos de esferas ou de roletes; redutores, multiplicadores, caixas de transmissão e variadores de velocidade, incluídos os conversores de torque; volantes e polias, incluídas as polias para cadernais; embreagens e dispositivos de acoplamento, incluídas as juntas de articulação"
8484;0105100;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Juntas metaloplásticas; jogos ou sortidos de juntas de composições diferentes, apresentados em bolsas, envelopes ou embalagens semelhantes; juntas de vedação mecânicas (selos mecânicos)"
850520;0105200;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Acoplamentos, embreagens, variadores de velocidade e freios, eletromagnéticos"
850710;0105300;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Acumuladores elétricos de chumbo, do tipo utilizado para o arranque dos motores de pistão"
85071010;0105301;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Acumuladores elétricos de chumbo, do tipo utilizado para o arranque dos motores de pistão e de capacidade inferior ou igual a 20 Ah e tensão inferior ou igual a 12 V"
8511;0105400;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Aparelhos e dispositivos elétricos de ignição ou de arranque para motores de ignição por centelha ou por compressão (por exemplo, magnetos, dínamos-magnetos, bobinas de ignição, velas de ignição ou de aquecimento, motores de arranque); geradores (dínamos e alternadores, por exemplo) e conjuntores-disjuntores utilizados com estes motores"
851220;0105500;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Aparelhos elétricos de iluminação ou de sinalização (exceto os da posição 8539), limpadores de para-brisas, degeladores e desembaçadores (desembaciadores) elétricos e suas partes"
851440;0105500;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Aparelhos elétricos de iluminação ou de sinalização (exceto os da posição 8539), limpadores de para-brisas, degeladores e desembaçadores (desembaciadores) elétricos e suas partes"
85149000;0105500;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Aparelhos elétricos de iluminação ou de sinalização (exceto os da posição 8539), limpadores de para-brisas, degeladores e desembaçadores (desembaciadores) elétricos e suas partes"
