segmento;anexo;item;cest;ncm;descricao;op_interna;protocolo;legislacao;mva4;mva7;mva12;mva_int;mva2_4;mva2_7;mva2_12;mva2_int;mva_ns4;mva_ns7;mva_ns12;mva_imp;pfc;aliq_interna;fecoep;aliq_txt;vigencia;versao
AUTOPEÇAS;II;24;0102400;830120;Fechaduras e partes de fechaduras;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;24;0102400;830160;Fechaduras e partes de fechaduras;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;25;0102500;830170;Chaves apresentadas isoladamente;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;26;0102600;83021000;Dobradiças, guarnições, ferragens e artigos semelhantes de metais comuns;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;26;0102600;83023000;Dobradiças, guarnições, ferragens e artigos semelhantes de metais comuns;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;27;0102700;831000;Triângulo de segurança;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;28;0102800;84073;Motores de pistão alternativo dos tipos utilizados para propulsão de veículos do Capítulo 87;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;29;0102900;840820;Motores dos tipos utilizados para propulsão de veículos automotores;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;30;0103000;84099;Partes reconhecíveis como exclusiva ou principalmente destinadas aos motores das posições 8407 ou 8408;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;31;0103100;84122;Motores hidráulicos;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;32;0103200;841330;Bombas para combustíveis, lubrificantes ou líquidos de arrefecimento, próprias para motores de ignição por centelha ou por compressão;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;33;0103300;84141000;Bombas de vácuo;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;34;0103400;8414801;Compressores e turbocompressores de ar;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;34;0103400;8414802;Compressores e turbocompressores de ar;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;35;0103500;84139190;Partes das bombas, compressores e turbocompressores dos CEST 01.032.00, 01.033.00 e 01.034.00;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;35;0103500;84149010;Partes das bombas, compressores e turbocompressores dos CEST 01.032.00, 01.033.00 e 01.034.00;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;35;0103500;8414903;Partes das bombas, compressores e turbocompressores dos CEST 01.032.00, 01.033.00 e 01.034.00;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;35;0103500;84149039;Partes das bombas, compressores e turbocompressores dos CEST 01.032.00, 01.033.00 e 01.034.00;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;36;0103600;841520;Máquinas e aparelhos de ar condicionado;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;37;0103700;8419;Aparelhos para filtrar óleos minerais nos motores de ignição por centelha ou por compressão;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;38;0103800;84212990;Filtros a vácuo;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;39;0103900;84219;Partes dos aparelhos para filtrar ou depurar líquidos ou gases;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;40;0104000;84241000;Extintores, mesmo carregados;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;41;0104100;84213100;Filtros de entrada de ar para motores de ignição por centelha ou por compressão;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;42;0104200;84213920;Depuradores por conversão catalítica de gases de escape;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;43;0104300;84254200;Macacos;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;44;0104400;84311010;Partes para macacos do CEST 01.043.00;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;45;0104500;8431492;Partes reconhecíveis como exclusiva ou principalmente destinadas às máquinas agrícolas ou rodoviárias;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;46;0104501;84339090;Partes reconhecíveis como exclusiva ou principalmente destinadas às máquinas agrícolas ou rodoviárias;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;47;0104600;84811000;Válvulas redutoras de pressão;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;48;0104700;84812;Válvulas para transmissão óleo-hidráulicas ou pneumáticas;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;49;0104800;84818092;Válvulas solenoides;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;50;0104900;8482;Rolamentos;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;51;0105000;8483;Árvores de transmissão (incluídas as árvores de “cames” e virabrequins) e manivelas , mancais e “bronzes” , engrenagens e rodas de fricção , eixos de esferas ou de roletes , redutores, multiplicadores, caixas de transmissão e variadores de velocidade, incluídos os conversores de torque , volantes e polias, incluídas as polias para cadernais , embreagens e dispositivos de acoplamento, incluídas as juntas de articulação;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;52;0105100;8484;Juntas metaloplásticas , jogos ou sortidos de juntas de composições diferentes, apresentados em bolsas, envelopes ou embalagens semelhantes , juntas de vedação mecânicas (selos mecânicos);S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;53;0105200;850520;Acoplamentos, embreagens, variadores de velocidade e freios, eletromagnéticos;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;54;0105300;850710;Acumuladores elétricos de chumbo, do tipo utilizado para o arranque dos motores de pistão;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;55;0105301;85071010;Acumuladores elétricos de chumbo, do tipo utilizado para o arranque dos motores de pistão e de capacidade inferior ou igual a 20 Ah e tensão inferior ou igual a 12 V;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;56;0105400;8511;Aparelhos e dispositivos elétricos de ignição ou de arranque para motores de ignição por centelha ou por compressão (por exemplo, magnetos, dínamos-magnetos, bobinas de ignição, velas de ignição ou de aquecimento, motores de arranque) , geradores (dínamos e alternadores, por exemplo) e conjuntores-disjuntores utilizados com estes motores;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;57;0105500;851220;Aparelhos elétricos de iluminação ou de sinalização (exceto os da posição 8539), limpadores de para-brisas, degeladores e desembaçadores (desembaciadores) elétricos e suas partes;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;57;0105500;851440;Aparelhos elétricos de iluminação ou de sinalização (exceto os da posição 8539), limpadores de para-brisas, degeladores e desembaçadores (desembaciadores) elétricos e suas partes;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
